Song Name ,Artist,Emotions,Anime,Ratings
Anata MAGIC, monobright, Motivated, Gintama, 7.98
Stairway Generation, Base Ball Bear, Motivated, Gintama, 8.54
Light Infection, Prague, Intense, Gintama, 8.43
Bubblegum, Captain Straydum, Happy, Gintama, 7.65
MR.RAINDROP, amplified, Sad, Gintama, 7.43
Snow Wing, redballoon, Love, Gintama, 8.87
Candy Line, Hitomi Takahashi, Happy, Gintama, 7.76
Shura, DOES, Intense, Gintama, 8.32
Miracle, Snowkel, Love, Gintama, 8.21
SIGNAL, KELUN, Motivated, Gintama, 7.54
Speed of Flow, The Rodeo Carburettor, Intense, Gintama, 8.09
Sanagi, POSSIBILITY, Motivated, Gintama, 8.43
This World is yours, plingmin, Love, Gintama, 7.76
Love love love, GHOSTNOTE, Sad, Gintama, 7.32
Kagayaita, SHIGI, Happy, Gintama, 8.65
Asa Answer, PENGIN, Motivated, Gintama, 7.98
Wo Ai Ni, Hitomi Takahashi feat. Beat Crusaders, Love, Gintama, 8.34
Wonderful Days, ONE☆DRAFT, Happy, Gintama, 8.43
SAYONARA no Sora, Qwai, Sad, Gintama, 7.65
Tougenkyou Alien, serial TV drama, Intense, Gintama, 8.21
Dilemma, ecosystem, Pain, Gintama, 8.87
Wonderland, FLiP, Happy, Gintama, 7.76
Samurai Heart (Some Like It Hot!!), SPYAIR, Intense, Gintama, 8.98
Balance Doll, Prague, Intense, Gintama, 8.76
Anagura, Kuroneko Chelsea, Motivated, Gintama, 7.54
Friend, Good Coming, Love, Gintama, 7.32
LET'S GO OUT, Amoyamo, Happy, Gintama, 7.87
Mantama, Tsu Terakado ♀ with Houkago Happy Hour, Happy, Gintama, 7.76
Sakura Mitsutsuki, SPYAIR, Love, Gintama, 8.09
Expect, Page, Motivated, Gintama, 7.65
Moonwalk, Monobright, Happy, Gintama, 7.43
DAY×DAY, BLUE ENCOUNT, Motivated, Gintama, 8.34
Revolution Pride, CHiCO with HoneyWorks, Motivated, Gintama, 7.76
Saigo made II, Aqua Timez, Sad, Gintama, 7.54
Beautiful Days, OKAMOTO'S, Happy, Gintama, 8.21
Know Know Know, DOES, Intense, Gintama, 8.43
Acchi Muite, Swimy, Love, Gintama, 7.32
DESTINY, Negoto, Intense, Gintama, 8.65
Kagerou, ЯeaL, Intense, Gintama, 8.87
SILVER, RIZE, Intense, Gintama, 8.76
VS, BLUE ENCOUNT, Intense, Gintama, 8.54
Hankou Seimei, Ayumikurikamaki, Intense, Gintama, 8.65
Katte ni My Soul, DISH//, Motivated, Gintama, 7.98
Hana Ichi Monme, BURNOUT SYNDROMES, Happy, Gintama, 7.87
I Wanna Be…, SPYAIR, Motivated, Gintama, 8.32
Bokutachi no Kisetsu, DOES, Sad, Gintama, 7.65
Bakuchi Dance, DOES, Intense, Gintama, 8.43
Genjou Destruction, SPYAIR, Intense, Gintama, 8.54
Wadachi, SPYAIR, Intense, Gintama, 8.76
Kataomoi, Aimer, Love, Lovely Complex, 7.32
found & lost, Survive Said The Prophet, Sad, Banana Fish, 9.54
FREEDOM, BLUE ENCOUNT, Pain, Banana Fish, 9.76
Prayer X, King Gnu, Pain, Banana Fish, 10.00
RED, Survive Said The Prophet, Sad, Banana Fish, 9.32
Sunny Day Song, micro's, Happy, Love Live! The School Idol Movie, 10.00
Secret Base Kimi ga Kureta Mono, "Ai Kayano, Haruka Tomatsu, Saori Hayami", Love, Anohana, 6.87
Idol, YOASOBI, Happy, Oshi no Ko, 8.21
Mephisto, Queen Bee, Intense, Oshi no Ko, 7.65
Forces, Susume Hirasawa, Pain, Berserk, 7.98
Kimi ni Todoke, May's, Love, Kimi ni Todoke, 7.76
For Fruits Basket, Ritsuko Okazaki, Love, Fruits Basket, 9.32
Absolute zero, natori, Intense, Wind Breaker, 8.09
departure!, , Happy, Hunter x Hunter, 9.10
Let Me Hear, Fear and Loathing in Las Vegas, Pain, Parasyte: The Maxim, 8.43
A Cruel Angel's Thesis, Yoko Takahashi, Intense, Neon Genesis Evangelion, 9.87
We Are!, Hiroshi Kitadani, Happy, One Piece, 9.32
Believe, Folder5, Motivated, One Piece, 8.54
Light, The Babystars, Motivated, One Piece, 8.32
Bon Voyage!, Bon-Bon Blanco, Motivated, One Piece, 8.21
Kokoro no Chizu, BOYSTYLE, Motivated, One Piece, 8.76
Brand New World, D-51, Motivated, One Piece, 8.65
We Are!, the Straw Hat Pirates, Happy, One Piece, 9.21
Crazy Rainbow, Tackey & Tsubasa, Happy, One Piece, 7.98
Jungle P, 5050, Happy, One Piece, 8.54
We Are, TVXQ, Happy, One Piece, 8.65
Share the World, TVXQ, Motivated, One Piece, 8.87
I'll Find The Wind, Mari Yaguchi with the Straw Hats, Motivated, One Piece, 7.76
One Day, The Rootless, Motivated, One Piece, 7.87
Fight Together, Namie Amuro, Motivated, One Piece, 8.65
We go!, Hiroshi Kitadani, Happy, One Piece, 8.43
Hands Up!, Kouta Shinzato, Happy, One Piece, 8.32
Wake up!, AAA, Motivated, One Piece, 8.21
Hard Knock Days, GENERATIONS from EXILE TRIBE, Motivated, One Piece, 8.43
We can!, Kishidan and Hiroshi Kitadani, Happy, One Piece, 8.09
Hope, Namie Amuro, Motivated, One Piece, 8.54
Super Powers, V6, Motivated, One Piece, 8.76
OVER THE TOP, Hiroshi Kitadani, Intense, One Piece, 9.32
DREAMIN' ON, Da-iCE, Intense, One Piece, 8.65
PAINT, I Don't Like Mondays., Intense, One Piece, 8.76
Saikou Totatsuten, SEKAI NO OWARI, Intense, One Piece, 8.98
Earth!, Hiroshi Kitadani, Motivated, One Piece, 8.43
For Fruits Basket, Ritsuko Okazaki, Love, Fruits Basket, 9.54
HOWLING, abingdon boys school, Intense, Darker than Black, 8.87
Orange, 7!!, Love, Shigatsu Kimi no Uso, 8.21
